incident_state	date	transportation	serious_incident	latitude	longitude
VA	1987-03-23	R	0	37.2709704	-79.9414266
OH	1987-03-25	H	0	39.9611755	-82.9987942
CT	1987-03-31	H	0	41.8489872	-72.5717551
IL	1987-04-03	H	0	41.7641723	-87.7812524
PA	1987-04-09	H	0	39.9625984	-76.727745
CT	1987-04-13	H	0	41.8489872	-72.5717551
IL	1987-04-14	H	0	41.7641723	-87.7812524
NM	1987-04-17	H	0	35.0853336	-106.6055534
MI	1987-05-01	H	0	42.3944486	-83.2973732
IL	1987-05-01	H	0	41.7641723	-87.7812524
KS	1987-05-02	H	1	39.7561206	-99.3239853
WA	1987-05-07	H	0	47.6062095	-122.3320708
CO	1987-05-11	H	0	40.0149856	-105.2705456
NY	1987-05-13	H	0	43.16103	-77.6109219
KY	1987-05-20	H	0	38.2526647	-85.7584557
CA	1987-05-21	H	0	37.6688205	-122.0807964
PA	1987-05-22	F	0	39.9625984	-76.727745
KY	1987-05-26	H	0	38.2526647	-85.7584557
WA	1987-05-27	H	0	47.6062095	-122.3320708
OH	1987-05-29	H	0	39.9611755	-82.9987942
OH	1987-05-29	H	0	39.1031182	-84.5120196
CO	1987-05-30	H	0	39.7392358	-104.990251
NC	1987-06-01	H	0	36.0726354	-79.7919754
PA	1987-06-05	H	0	39.9625984	-76.727745
CO	1987-06-06	H	0	39.7392358	-104.990251
OH	1987-06-15	H	0	39.9611755	-82.9987942
OH	1987-06-17	H	0	39.1031182	-84.5120196
IL	1987-06-19	H	0	41.8781136	-87.6297982
WA	1987-06-21	H	0	47.6062095	-122.3320708
KY	1987-06-25	H	0	38.2526647	-85.7584557
GA	1987-07-10	H	0	33.8981579	-84.2832564
NC	1987-07-12	H	0	36.0726354	-79.7919754
OH	1987-07-13	H	0	39.9611755	-82.9987942
TX	1987-07-17	R	0	30.3490976	-94.1779624
WI	1987-07-21	H	0	43.0430678	-88.078978
OK	1987-07-28	H	0	35.4675602	-97.5164276
LA	1987-08-07	R	1	31.1435194	-93.260998
CO	1987-08-08	H	0	39.7392358	-104.990251
PA	1987-08-11	H	0	39.9625984	-76.727745
GA	1987-08-17	H	0	33.8981579	-84.2832564
LA	1987-08-18	H	0	29.9510658	-90.0715323
IL	1987-08-20	H	0	41.931696	-87.9889556
OH	1987-08-21	H	0	39.9611755	-82.9987942
PA	1987-08-27	H	0	40.1000961	-76.3541265
IN	1987-08-29	R	0	39.803092	-87.524464
OH	1987-09-11	H	0	39.7589478	-84.1916069
PA	1987-09-15	H	0	39.9625984	-76.727745
IN	1987-09-22	H	0	39.768403	-86.158068
PA	1987-10-01	F	0	40.2731911	-76.8867008
NV	1987-10-01	H	0	36.1699412	-115.1398296
IL	1987-10-01	H	0	41.7641723	-87.7812524
IL	1987-10-01	H	0	41.7641723	-87.7812524
IL	1987-10-05	F	0	40.6936488	-89.5889864
NC	1987-10-09	H	0	35.2270869	-80.8431267
LA	1987-10-12	H	0	30.4582829	-91.1403196
TX	1987-10-13	H	0	30.267153	-97.7430608
WI	1987-10-20	H	0	43.1633426	-87.9645321
IL	1987-10-27	H	0	41.7641723	-87.7812524
IN	1987-10-27	H	0	39.768403	-86.158068
TN	1987-10-27	A	0	35.1495343	-90.0489801
IL	1987-10-29	H	0	41.7641723	-87.7812524
IL	1987-11-04	H	0	41.7641723	-87.7812524
IL	1987-11-05	H	0	41.7641723	-87.7812524
PA	1987-11-05	H	0	39.9625984	-76.727745
MA	1987-11-05	H	0	42.7070354	-71.1631137
NC	1987-11-06	H	0	36.1198588	-80.0736533
IL	1987-11-13	H	0	41.7641723	-87.7812524
CO	1987-11-14	H	0	39.2638762	-103.6921737
CO	1987-11-17	H	0	39.613321	-105.0166498
PA	1987-11-20	H	0	39.9625984	-76.727745
OH	1987-12-01	H	0	39.9611755	-82.9987942
OH	1987-12-03	H	0	39.7589478	-84.1916069
VA	1987-12-04	H	0	37.5407246	-77.4360481
KS	1987-12-16	H	0	39.114053	-94.6274636
TX	1987-12-26	R	1	32.6681997	-94.3457493
TX	1988-01-04	H	0	29.4241219	-98.4936282
WA	1988-01-18	H	0	47.6062095	-122.3320708
WA	1988-01-18	H	0	47.7542651	-122.1634582
MD	1988-01-19	H	0	38.6265124	-76.9105483
GA	1988-01-19	H	0	33.7489954	-84.3879824
OH	1988-02-01	H	0	39.1031182	-84.5120196
PA	1988-02-12	H	0	39.9625984	-76.727745
IL	1988-02-19	H	0	41.7641723	-87.7812524
VA	1988-02-21	H	1	37.816239	-79.8244947
CA	1988-02-29	H	0	32.715738	-117.1610838
PA	1988-02-29	H	0	39.9625984	-76.727745
IN	1988-03-02	H	0	39.768403	-86.158068
MD	1988-03-06	R	1	39.6528654	-78.7625185
IL	1988-03-08	H	0	41.7641723	-87.7812524
PA	1988-03-08	H	0	41.961189	-75.7432424
PA	1988-03-23	R	0	41.0036719	-80.347009
PA	1988-03-28	H	0	39.9625984	-76.727745
IN	1988-03-28	H	0	39.768403	-86.158068
IN	1988-03-30	H	0	39.768403	-86.158068
CA	1988-04-05	H	1	33.7700504	-118.1937395
